,Country,League,Season,Date,Time,Home,Away,HG,AG,Res,PH,PD,PA,MaxH,MaxD,MaxA,AvgH,AvgD,AvgA
112,Mexico,Liga MX,2012/2013,14/10/2012,18:00,U.N.A.M.- Pumas,Pachuca,1,0,H,1.99,3.48,4.3,2.02,3.5,4.5,1.92,3.3,3.86
113,Mexico,Liga MX,2012/2013,14/10/2012,23:00,Guadalajara Chivas,Chiapas,1,1,D,2.17,3.41,3.67,2.19,3.41,3.9,2.03,3.25,3.51
114,Mexico,Liga MX,2012/2013,20/10/2012,01:30,Chiapas,Puebla,2,0,H,1.71,3.87,5.3,1.8,3.87,5.5,1.71,3.55,4.57
115,Mexico,Liga MX,2012/2013,20/10/2012,03:30,Club Tijuana,Cruz Azul,2,2,D,2.33,3.1,3.64,2.41,3.3,3.64,2.22,3.13,3.21
116,Mexico,Liga MX,2012/2013,20/10/2012,23:00,Club America,Club Leon,2,1,H,2.5,3.57,2.88,2.5,3.6,2.96,2.42,3.22,2.77
117,Mexico,Liga MX,2012/2013,20/10/2012,23:00,Queretaro,Monarcas,1,2,A,4.55,3.87,1.83,4.75,3.95,1.83,4.27,3.57,1.76
118,Mexico,Liga MX,2012/2013,21/10/2012,01:00,Pachuca,Monterrey,1,1,D,2.56,3.3,3.0,2.58,3.4,3.0,2.46,3.09,2.81
119,Mexico,Liga MX,2012/2013,21/10/2012,01:00,U.A.N.L.- Tigres,U.N.A.M.- Pumas,5,0,H,1.98,3.37,4.47,2.0,3.6,4.48,1.9,3.3,3.94
120,Mexico,Liga MX,2012/2013,21/10/2012,03:00,Atlas,Atl. San Luis,2,3,A,1.98,3.46,4.32,2.04,3.5,4.32,1.96,3.27,3.73
121,Mexico,Liga MX,2012/2013,21/10/2012,18:00,Toluca,Santos Laguna,4,1,H,2.06,3.67,3.71,2.11,3.67,3.77,1.99,3.39,3.5
122,Mexico,Liga MX,2012/2013,22/10/2012,00:00,Atlante,Guadalajara Chivas,3,1,H,2.5,3.3,3.1,2.7,3.3,3.1,2.49,3.09,2.77
123,Mexico,Liga MX,2012/2013,24/10/2012,02:30,Monarcas,Atlas,2,0,H,1.71,3.77,5.72,1.71,4.09,7.0,1.58,3.7,5.63
