,Date,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA
154,01/11/14,2.0,2.0,D,Stoke,West Ham,2.42,3.37,3.22,2.42,3.33,3.26
155,01/11/14,0.0,1.0,A,Leicester,West Brom,2.35,3.46,3.27,2.51,3.48,2.99
156,01/11/14,2.0,1.0,H,Chelsea,QPR,1.19,7.8,19.99,1.16,8.72,21.42
157,01/11/14,0.0,1.0,A,Hull,Southampton,4.01,3.61,2.03,4.28,3.83,1.9
158,01/11/2015,6.0,2.0,H,Everton,Sunderland,1.49,4.61,7.5,1.48,4.7,7.5
159,01/11/2015,2.0,0.0,H,Southampton,Bournemouth,1.55,4.37,6.88,1.53,4.41,7.22
160,01/11/2020,0.0,1.0,A,Man United,Arsenal,2.05,3.78,3.73,2.02,3.65,3.97
161,01/11/2020,3.0,4.0,A,Aston Villa,Southampton,2.53,3.72,2.81,2.69,3.56,2.73
162,01/11/2020,2.0,1.0,H,Tottenham,Brighton,1.65,4.26,5.54,1.61,4.36,5.77
163,01/11/2020,2.0,1.0,H,Newcastle,Everton,3.82,3.56,2.09,3.34,3.43,2.33
164,01/11/2021,2.0,1.0,H,Wolves,Everton,2.27,3.4,3.47,2.3,3.19,3.66
165,01/12/12,0.0,2.0,A,Arsenal,Swansea,1.49,4.68,7.44,1.49,4.54,7.64
166,01/12/12,0.0,3.0,A,Fulham,Tottenham,2.96,3.57,2.49,3.0,3.48,2.49
167,01/12/12,1.0,1.0,D,Man City,Everton,1.54,4.43,6.94,1.56,4.3,6.81
168,01/12/12,1.0,1.0,D,QPR,Aston Villa,1.99,3.63,4.14,1.98,3.54,4.28
169,01/12/12,3.0,4.0,A,Reading,Man United,7.75,4.83,1.46,7.47,4.83,1.47
170,01/12/12,0.0,1.0,A,West Brom,Stoke,2.16,3.44,3.74,2.27,3.31,3.56
171,01/12/12,3.0,1.0,H,West Ham,Chelsea,4.21,3.54,2.0,4.84,3.62,1.85
172,01/12/12,1.0,0.0,H,Liverpool,Southampton,1.43,4.99,8.48,1.37,5.29,9.97
173,01/12/13,3.0,1.0,H,Hull,Liverpool,7.05,4.13,1.57,6.06,4.09,1.63
174,01/12/13,3.0,1.0,H,Chelsea,Southampton,1.57,4.25,6.82,1.6,4.22,6.08
175,01/12/13,3.0,0.0,H,Man City,Swansea,1.3,5.74,13.32,1.27,6.26,13.74
176,01/12/13,2.0,2.0,D,Tottenham,Man United,2.8,3.44,2.68,2.76,3.31,2.81
177,01/12/2018,2.0,0.0,H,Crystal Palace,Burnley,1.62,3.92,6.65,1.56,4.07,7.28
178,01/12/2018,1.0,2.0,A,Huddersfield,Brighton,2.5,3.06,3.42,2.43,2.93,3.76
179,01/12/2018,2.0,0.0,H,Leicester,Watford,2.28,3.35,3.54,2.36,3.3,3.41
180,01/12/2018,2.0,2.0,D,Southampton,Man United,4.3,3.52,1.99,4.29,3.58,1.97
181,01/12/2018,0.0,3.0,A,Newcastle,West Ham,2.5,3.38,3.1,2.59,3.37,2.98
182,01/12/2018,3.0,1.0,H,Man City,Bournemouth,1.11,10.98,23.72,1.13,9.87,22.77
183,01/12/2019,2.0,2.0,D,Man United,Aston Villa,1.48,4.44,7.72,1.47,4.75,7.32
184,01/12/2019,2.0,1.0,H,Leicester,Everton,1.64,4.19,5.58,1.65,4.08,5.57
185,01/12/2019,1.0,1.0,D,Wolves,Sheffield United,1.93,3.52,4.46,2.23,3.2,3.82
