,FTHG,FTAG,FTR,Home,Away,PH,PD,PA,PCH,PCD,PCA,H_LastOdds,A_LastOdds,H_LastFTG,A_LastFTG,H_MMR,A_MMR,H_3Points,A_3Points,H_9Points,A_9Points,H_17Points,A_17Points,H_3EVs,A_3EVs,H_5EVs,A_5EVs,H_9EVs,A_9EVs,H_1shock,A_1shock,H_3shock,A_3shock,H_7shock,A_7shock,H_winstreak,A_winstreak
141,0.0,2.0,A,West Ham,Leicester,2.14,3.56,3.64,1.99,3.68,4.03,1.99,4.03,0.0,0.0,22.57610387116934,22.729014429904474,3,6,10,13,14,14,6.63,12.89,14.57,16.75,24.310000000000002,28.38,6.31,-3.92,5.799999999999999,-12.22,9.64,-11.75,-2,1
142,1.0,0.0,H,Newcastle,Chelsea,2.36,3.53,3.18,2.17,3.46,3.67,2.17,3.67,0.0,0.0,29.530387316567726,26.621330326575244,9,1,21,14,27,21,7.040000000000001,4.32,11.41,7.269999999999999,17.16,12.969999999999999,0.08999999999999986,1.69,-6.6000000000000005,11.1,-14.16,11.5,6,-2
143,0.0,2.0,A,Wolves,Arsenal,6.5,4.3,1.56,6.54,4.22,1.57,6.54,1.57,0.0,0.0,20.240466395592033,33.17361908901697,1,7,7,22,10,34,6.540000000000001,4.39,11.190000000000001,8.67,30.62,15.75,-1.5599999999999996,-1.69,3.670000000000001,-1.3099999999999998,6.010000000000001,-6.09,-3,6
144,1.0,2.0,A,Brighton,Aston Villa,1.88,3.84,4.33,1.76,3.85,5.05,1.76,5.05,0.0,0.0,25.31920815595316,23.562910566972793,6,6,11,12,21,15,18.410000000000004,9.18,20.090000000000003,13.620000000000001,30.840000000000003,27.200000000000003,1.5599999999999996,-5.200000000000001,-17.990000000000002,-6.400000000000001,-16.790000000000003,0.799999999999998,2,1
145,1.0,2.0,A,Fulham,Man United,4.0,4.02,1.91,4.29,3.9,1.87,4.29,1.87,0.0,0.0,24.851539267579554,29.037726529604125,4,4,11,17,19,23,19.84,5.6899999999999995,23.85,9.200000000000001,38.57,21.95,-14.64,5.200000000000001,-17.64,0.8500000000000014,-20.66,-13.980000000000002,-1,-1
146,2.0,0.0,H,Brentford,Arsenal,4.05,3.46,2.05,3.94,3.33,2.13,4.5,1.85,0.0,3.0,24.254557099491812,33.31088009556501,5,9,10,22,19,37,22.62,5.48,28.92,7.66,41.39,15.77,-36.85,-1.1400000000000001,-37.57,-3.93,-43.34,-4.68,1,7
147,5.0,1.0,H,Man United,Leeds,1.56,4.57,5.96,1.67,4.2,5.4,1.67,5.4,0.0,0.0,29.522231225703532,21.89109045068091,6,6,17,7,26,15,4.9399999999999995,17.89,9.990000000000002,21.04,21.570000000000004,31.740000000000002,1.5499999999999998,-10.120000000000001,6.0200000000000005,-20.93,2.0900000000000007,-12.710000000000003,1,-1
148,1.0,2.0,A,Burnley,Brighton,3.3,3.12,2.51,3.27,3.14,2.51,3.27,2.51,0.0,0.0,25.0,24.337716412822715,0,6,0,11,0,21,0.0,6.17,0.0,19.580000000000002,0.0,30.220000000000002,0.0,7.34,0.0,1.6599999999999993,0.0,-2.6000000000000014,0,-1
149,3.0,0.0,H,Chelsea,Crystal Palace,1.26,6.24,12.74,1.34,5.4,11.0,1.79,4.83,2.0,1.0,26.034519118497098,23.625205069310944,0,6,14,14,21,19,5.82,8.12,7.869999999999999,12.43,14.95,23.13,1.17,2.34,10.1,-5.05,10.42,-2.209999999999999,-3,-1
150,3.0,1.0,H,Everton,Southampton,2.01,3.56,4.1,2.05,3.45,4.07,3.23,2.38,2.0,1.0,22.40242757107975,22.109313811397076,1,0,10,5,14,12,5.5600000000000005,15.2,12.840000000000002,24.13,27.57,50.16,5.64,-7.93,6.289999999999999,-6.9399999999999995,2.8599999999999985,-18.36,-2,-3
151,1.0,0.0,H,Leicester,Wolves,1.73,3.79,5.47,1.76,3.77,5.22,3.18,2.41,4.0,0.0,23.600589196612813,20.154028891242397,6,1,16,4,17,10,13.740000000000002,10.670000000000002,19.290000000000003,14.970000000000002,29.120000000000005,34.02,-6.0600000000000005,1.1400000000000001,-9.56,-3.9099999999999997,-14.850000000000001,5.01,2,-4
152,3.0,2.0,H,Watford,Aston Villa,3.18,3.31,2.47,3.68,3.35,2.21,3.68,2.21,0.0,0.0,25.0,24.466945027694173,0,6,0,14,0,18,0.0,12.149999999999999,0.0,15.7,0.0,23.900000000000002,0.0,-7.34,0.0,-9.420000000000002,0.0,-3.480000000000002,0,2
153,0.0,3.0,A,Norwich,Liverpool,8.35,5.86,1.36,7.0,4.9,1.48,7.0,1.48,0.0,0.0,25.0,26.18106567109445,0,6,0,14,0,22,0.0,3.5599999999999996,0.0,5.36,0.0,11.729999999999999,0.0,7.93,0.0,30.189999999999998,0.0,36.84,0,2
154,2.0,4.0,A,Newcastle,West Ham,3.21,3.59,2.32,3.46,3.55,2.21,3.46,2.21,0.0,0.0,30.02450239851134,21.821306581152623,9,0,23,10,30,14,5.8,6.0,10.870000000000001,14.020000000000001,18.21,20.859999999999996,-1.17,6.0600000000000005,-4.2,13.1,-11.24,17.840000000000003,7,-3
